jobName,jobAddrNoDesc,jobAddrNoDesc_en,custName,tech_skills,periodDesc,periodDesc_en,coIndustryDesc,coIndustryDesc_en,optionEdu,optionEdu_en
後端工程師-政府專案領域(PS250),新北市,New Taipei City,資拓宏宇國際股份有限公司,,3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
React前端工程師,台北市,Taipei City,卓威行銷有限公司,"CSS, Git, HTML, Javascript, React, Typescript",經歷不拘,Experience not required,廣告行銷公關業,Advertising & PR,學歷不拘,No degree required
後端工程師｜Backend Engineer,台中市,Taichung City,主橙資訊科技股份有限公司,"Git, Java, Node.js, PostgreSQL, Python",3年以上,3+ years,電腦軟體服務業,Software Services,專科,Associate Degree
軟體研發工程師,高雄市,Kaohsiung City,仲鈜科技股份有限公司,C#,經歷不拘,Experience not required,自動控制相關業,Automation,大學,Bachelor's Degree
&lt;新事業體&gt; 網頁前端工程師 Front-End Engineer,台北市,Taipei City,聯和科創股份有限公司,"CSS, Git, HTML, Javascript, React",3年以上,3+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
後端SRE工程師,台中市,Taichung City,瀚品數位科技有限公司,Node.js,1年以上,1+ year,電腦軟體服務業,Software Services,大學,Bachelor's Degree
軟體後端工程師,桃園市,Taoyuan City,銘旺科技股份有限公司,,3年以上,3+ years,消費性電子產品製造業,Consumer Electronics,大學,Bachelor's Degree
軟體工程師,新北市,New Taipei City,恆續科技股份有限公司,"C++, Python",經歷不拘,Experience not required,檢測技術服務,Inspection Services,專科,Associate Degree
iOS APP工程師 (Objective-C)-線上面試,台中市,Taichung City,痞客科技有限公司,Git,2年以上,2+ years,網際網路相關業,Internet,專科,Associate Degree
Backend Developer 後端工程師,台北市,Taipei City,英屬維京群島商捷興數位有限公司台灣分公司,"Git, Java, Spring",3年以上,3+ years,電腦系統整合服務業,System Integration,高中,High School Diploma
資訊處- 軟體開發工程師(C#/ 實際title面議),台北市,Taipei City,訊聯基因數位股份有限公司,,4年以上,4+ years,生化科技研發業,Biotech R&D,大學,Bachelor's Degree
助理工程師,基隆市,Keelung City,費曼圖科技有限公司,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,高中以下,Below High School
【Saas 系統】Java 全端開發工程師,台北市,Taipei City,創科系統有限公司,"Java, React, Spring",3年以上,3+ years,網際網路相關業,Internet,專科,Associate Degree
Java程式設計師,台北市,Taipei City,中慧通金融科技股份有限公司,,4年以上,4+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
前端開發,新北市,New Taipei City,洛芙瀾科技有限公司,"CSS, HTML, Javascript, Typescript, Vue",經歷不拘,Experience not required,網際網路相關業,Internet,學歷不拘,No degree required
Web前端工程師,台北市,Taipei City,鴻圖股份有限公司,"CSS, HTML, Javascript, Node.js, React, Vue",3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
前端工程師(網站切版),台中市,Taichung City,達文西數位科技有限公司,"CSS, Git, HTML, Javascript, RWD",3年以上,3+ years,網際網路相關業,Internet,專科,Associate Degree
Golang 後端工程師,台北市,Taipei City,天晴資訊有限公司,"Git, MongoDB, PostgreSQL, React, Vue",經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,專科,Associate Degree
Frontend Engineer / Tech Leader,新竹市,Hsinchu City,米塔行動邊緣運算股份有限公司,"Angular, CSS, Git, HTML, Javascript, React, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Sr. Software Engineer - Frontend,台北市,Taipei City,新加坡商雲科有限公司,,5年以上,5+ years,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
Node.js全端工程師,新北市,New Taipei City,展綠科技股份有限公司,"Angular, Git, Node.js",1年以上,1+ year,其他電子零組件相關業,Other Electronic Components,大學,Bachelor's Degree
WEB後端工程師,台北市,Taipei City,麟數據科技股份有限公司,"AWS, Azure, CSS, Git, HTML, Javascript, Node.js, React, SQL, Typescript",經歷不拘,Experience not required,電腦軟體服務業,Software Services,專科,Associate Degree
富邦證券-資訊管制作業人員,台北市,Taipei City,富邦綜合證券股份有限公司,,2年以上,2+ years,證券及期貨業,Securities,專科,Associate Degree
後端工程師,桃園市,Taoyuan City,日山能源科技有限公司,"AWS, C++, Node.js, Python, React",經歷不拘,Experience not required,光電產業,Optoelectronics,專科,Associate Degree
全端工程師,台北市,Taipei City,歐德堡股份有限公司,".NET, C#, CSS, Git, HTML, Javascript, React, SQL, Vue",3年以上,3+ years,電子通訊／電腦週邊零售業,Electronics Retail,大學,Bachelor's Degree
【 Web3 iOS 開發工程師】Senior Web3 iOS Developer,台北市,Taipei City,羊星有限公司,"Git, React",經歷不拘,Experience not required,工商顧問服務業,Business Consulting,學歷不拘,No degree required
前端開發工程師,台中市,Taichung City,拓雲資科股份有限公司,"Angular, CSS, Git, HTML, Javascript, RWD, Vue",3年以上,3+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
COCOS前端工程師,台北市,Taipei City,鑠銳有限公司,"Angular, Javascript, React, Vue",3年以上,3+ years,電腦軟體服務業,Software Services,專科,Associate Degree
Q009Q42_硬體工程師,台北市,Taipei City,神通資訊科技股份有限公司,,1年以上,1+ year,電腦系統整合服務業,System Integration,高中以下,Below High School
後端工程師,台中市,Taichung City,元安迅科技有限公司,,2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Vue前端軟體工程師(駐點職缺),台北市,Taipei City,潤新資訊股份有限公司,"RWD, Vue",1年以上,1+ year,電腦軟體服務業,Software Services,大學,Bachelor's Degree
(Martech/AI) 資深PHP工程師 / Sr. PHP Engineer,台北市,Taipei City,禾多移動多媒體股份有限公司,,2年以上,2+ years,數位內容產業,Digital Content,大學,Bachelor's Degree
【數轉院/跨域實證服務中心】互動體驗設計工讀生,台北市,Taipei City,資策會_財團法人資訊工業策進會,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
前端工程師(合約制)(可遠端)(新竹以北),新北市,New Taipei City,宏思科技有限公司,"Git, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
後端工程師,新竹縣,Hsinchu County,尚承科技股份有限公司,"Git, Java, MongoDB, PostgreSQL, Spring",3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【高併發 × AI 整合】Golang後端工程師,台北市,Taipei City,布魯斯人事顧問有限公司,PostgreSQL,2年以上,2+ years,人力仲介代徵,Recruitment Agency,專科,Associate Degree
智能工廠軟體工程師(常日班),高雄市,Kaohsiung City,台郡科技股份有限公司(總公司),Java,2年以上,2+ years,印刷電路板製造業(PCB),PCB Manufacturing,大學,Bachelor's Degree
前端工程師 Frontend Engineer（飛起來行銷）,台南市,Tainan City,熊寶貝寵物用品股份有限公司,"CSS, Git, HTML, React, Typescript",經歷不拘,Experience not required,寵物相關服務業,Pet Services,學歷不拘,No degree required
軟體工程師,台南市,Tainan City,台科電科技股份有限公司,"Git, Java, Javascript, Python",經歷不拘,Experience not required,電力機械器材製造修配業,Power Machinery,大學,Bachelor's Degree
後端工程師/軟體工程師,新竹市,Hsinchu City,友達宇沛永續科技股份有限公司,Javascript,經歷不拘,Experience not required,環境衛生及污染防治服務業,Environmental Services,專科,Associate Degree
C# .NET 後端工程師（PJ5）,台北市,Taipei City,瑞思登科技股份有限公司,,2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
【總公司】資訊軟體工程師IT,台北市,Taipei City,三商美福室內裝修股份有限公司,".NET, SQL",4年以上,4+ years,室內設計業,Interior Design,大學,Bachelor's Degree
(Q) : C# .NET (俱備 前/後端經驗)工程師,台北市,Taipei City,智璟科技股份有限公司,".NET, Angular, C#, CSS, HTML, Javascript, SQL",2年以上,2+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
【招聘赴日東京python軟體開發工程師】,日本,Japan,株式会社ブライトスター,"AWS, Angular, Azure, Django, Java, Javascript, Node.js, Python, React, Vue",經歷不拘,Experience not required,電腦系統整合服務業,System Integration,專科,Associate Degree
【國際日用品品牌】【Sr. IT Programmer】全端工程師角色｜75K以上｜週休二日｜板橋辦公室｜部分遠端_101LL,新北市,New Taipei City,萬寶華企業管理顧問股份有限公司,"Angular, Azure, C#, SQL",3年以上,3+ years,人力仲介代徵,Recruitment Agency,大學,Bachelor's Degree
WEB全端開發工程師,台北市,Taipei City,麟數據科技股份有限公司,"CSS, Git, HTML, Javascript, Node.js, React, SQL",經歷不拘,Experience not required,電腦軟體服務業,Software Services,專科,Associate Degree
全端工程師/.NET全端工程師/網頁全端工程師,台北市,Taipei City,果思設計股份有限公司,HTML,3年以上,3+ years,網際網路相關業,Internet,專科,Associate Degree
軟體開發工程師,台北市,Taipei City,勤崴國際科技股份有限公司,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
零碳節能控制系統軟體開發工程師,台北市,Taipei City,今時科技股份有限公司,"AWS, MongoDB, Python, SQL, Vue",3年以上,3+ years,網際網路相關業,Internet,專科,Associate Degree
Vue.js前端工程師,台北市,Taipei City,稑燾智能有限公司,"CSS, Git, HTML, Javascript, RWD, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Backend Engineer 後端工程師,台中市,Taichung City,背景模式股份有限公司,"MongoDB, Typescript",2年以上,2+ years,電腦軟體服務業,Software Services,高中,High School Diploma
【外商食品FMCG】Sr. IT Programmer_全端工程師_1 year contractor_115PC,新北市,New Taipei City,萬寶華企業管理顧問股份有限公司,,3年以上,3+ years,人力仲介代徵,Recruitment Agency,大學,Bachelor's Degree
雲端運算平台軟體(後端)開發 工程師,台北市,Taipei City,台灣智慧雲端服務股份有限公司,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Java工程師,台中市,Taichung City,痞客科技有限公司,"Java, MongoDB",2年以上,2+ years,網際網路相關業,Internet,專科,Associate Degree
